Title,Authors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Supplement,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Avg per Year Since Publication,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sybilproof Transitive Trust Protocols,"Resnick, Paul; Sami, Rahul",,10TH ACM CONFERENCE ON ELECTRONIC COMMERCE - EC 2009,2009,2009,,,,345,354,,,10th ACM Conference on Electronic Commerce (EC-2009),"JUL 06-10, 2009",10,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,4,0,0,1,0
Evaluating Active U: an internet-mediated physical activity program,"Buis, Lorraine R.; Poulton, Timothy A.; Holleman, Robert G.; Sen, Ananda; Resnick, Paul J.; Goodrich, David E.; Palma-Davis, LaVaughn; Richardson, Caroline R.",,BMC PUBLIC HEALTH,SEP 10 2009,2009,9,,,,,331,10.1186/1471-2458-9-331,,,28,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,3,2,3,1,2,1,1,0,0,0,0,2
Presenting Diverse Political Opinions: How and How Much,"Munson, Sean A.; Resnick, Paul",,"CHI2010: PROCEEDINGS OF THE 28TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1-4",2010,2010,,,,1457,1466,,,28th Annual CHI Conference on Human Factors in Computing Systems,"APR 10-15, 2010",105,7.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,13,13,7,10,16,5,9,12,7,7,1
Happier Together: Integrating a Wellness Application into a Social Network Site,"Munson, Sean A.; Lauterbach, Debra; Newman, Mark W.; Resnick, Paul","Ploug, T; Hasle, P; OinasKukkonen, H","PERSUASIVE TECHNOLOGY, PROCEEDINGS",2010,2010,6137,,,27,39,,,5th International Conference on Persuasive Technology,"JUN 07-10, 2010",37,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,6,4,1,4,1,1,1,1,1
I Scratched Yours: The Prevalence of Reciprocation in Feedback Provision on eBay,"Jian, Lian; MacKie-Mason, Jeffrey K.; Resnick, Paul",,B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,2010,2010,10,1,,,,92,,,,7,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2
EDUCATIONAL PRIORITIES FOR TECHNOLOGY-MEDIATED SOCIAL PARTICIPATION,"Lampe, Cliff; Resnick, Paul; Forte, Andrea; Schoenebeck, Sarita; Rotman, Dana; Marshall, Todd; Lutters, Wayne",,COMPUTER,NOV 2010,2010,43,11,,60,67,,10.1109/MC.2010.316,,,4,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
An Online Community Improves Adherence in an Internet-Mediated Walking Program. Part 1: Results of a Randomized Controlled Trial,"Richardson, Caroline R.; Buis, Lorraine R.; Janney, Adrienne W.; Goodrich, David E.; Sen, Ananda; Hess, Michael L.; Mehari, Kathleen S.; Fortlage, Laurie A.; Resnick, Paul J.; Zikmund-Fisher, Brian J.; Strecher, Victor J.; Piette, John D.",,JOURNAL OF MEDICAL INTERNET RESEARCH,OCT-DEC 2010,2010,12,4,,138,153,e71,10.2196/jmir.1338,,,166,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,22,14,20,24,9,5,6,12,12,10,10,3
Adding an Online Community to an Internet-Mediated Walking Program. Part 2: Strategies for Encouraging Community Participation,"Resnick, Paul J.; Janney, Adrienne W.; Buis, Lorraine R.; Richardson, Caroline R.",,JOURNAL OF MEDICAL INTERNET RESEARCH,OCT-DEC 2010,2010,12,4,,154,164,e72,10.2196/jmir.1339,,,44,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,3,8,7,1,3,1,1,2,0,5,0
Resisting Political Fragmentation on the Internet,"Garrett, R. Kelly; Resnick, Paul",,DAEDALUS,FAL 2011,2011,140,4,,108,120,,10.1162/DAED_a_00118,,,33,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,2,4,2,5,2,1,2,3,1
HOW DO I FIND AND WORK PRODUCTIVELY WITH A COMPUTER SCIENTIST? A PANEL DISCUSSION ON WORKING ACROSS THE DISCIPLINARY DIVIDE FOR DEVELOPING BEHAVIOR CHANGE TECHNOLOGIES,"Hekler, Eric B.; Richardson, Caroline; Klasnja, Pedja; Resnick, Paul; Wright, Julie",,ANNALS OF BEHAVIORAL MEDICINE,MAR 2013,2013,45,,2,S161,S161,,,,,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
